category,type,code,quantity,description,lastBuy,seller,price,
RESISTENZE,Potenziometro,100k,2,,,,,
CONNETTORI,Coccodrilli,Volante – Rosso,5,,,,,
CONNETTORI,Coccodrilli,Volante – Nero,7,,,,,
CONDENSATORI,Elettrolitico,2000uF – 25volts,2,,,Mouser.com,,
MICROCONTROLLORI,ATMEL,AtTiny85V10PU,2,"8pin, 8kB Flash, 512kB",,Mouser.com,,
SOCKET,ZOCCOLO DIP,8Pin,8,,,Mouser.com,,
QUARZI,ECS Crystals,20MHz – 20pF,8,,,Mouser.com,,
MICROCONTROLLORI,ATMEL,ATMEGA328-PU,3,"28pin, AVR 32K Flash",,Mouser.com,,
DIODI,Ponte raddrizzatore,800V -  25A,2,,,Mouser.com,,
MICROCONTROLLORI,ATMEL,AtTiny45-20pU,3,"8pin, 4kB Flash, 256kB",,Mouser.com,,
SOCKET,ZOCCOLO DIP,28Pin,2,,,Mouser.com,,
PROGRAMMATORE,ATMEL,AVRDRAGON,1,,,Mouser.com,,
CONNETTORI,DB25,Femmina – Volante,1,,,,,
CONNETTORI,DB9,Femmina – PCB,1,,,,,
CONNETTORI,DB15,Maschio – Volante,1,,,,,
DIODI,Fotodiodo PCM,TSOP 1730,3,,,,,
LED,Led IR,Bianchi,8,,,,,
LED,Led IR,TSAL 6400,10,,,,,
LED,Led ,Rosso,32,,,,,
LED,Led ,Verde,4,,,,,
LED,Led ,Giallo,2,,,,,
SWITCH,Levetta,ON/OFF/(ON),1,125V 5A,,,,
SWITCH,Interruttore,"Con Led, 220V",1,,,,,
SWITCH,Slitta,3p + 3p,4,,,,,
SWITCH,Pulsante PCB,2p +2p Piatto,4,,,,,
SWITCH,Pulsante PCB,2p ,2,,,,,
SWITCH,Pulsante Pannello,(ON),3,,,,,
SWITCH,Levetta,3p,4,,,,,
SWITCH,Micro PCB,2p+2p,4,,,,,
RESISTENZE,Resistore,12 hom,20,1/2w,,,,
RESISTENZE,Resistore,47 hom,1,1/2w,,,,
FOTORESISTENZE,Fotoresistenza,-,2,,,,,
RESISTENZE,Resistore,330,15,1/2w,,,,
RESISTENZE,Resistore,100,8,1/2w,,,,
RESISTENZE,Resistore,270,7,1/2w,,,,
